     251      701      754     2528     6029     2852     1017      727      436      581        0
     232      612      710     2497     5262     2871     1201      820      812      859        0
     330      884      812     2393     5539     2840      995      867      426      790        0
     210      558      655     2442     6464     2826      936      700      492      593        0
     261      709      714     2452     6237     2837      996      718      377      575        0
     209      529      688     2642     5419     2939     1102      809      781      758        0
     331      907      838     2432     5308     2776     1048      909      468      859        0
     196      551      640     2469     6353     2844     1051      685      497      590        0
    1344     1440     1263     1661     1757     1437     1312     1546     1526     2590        1
    1397     1447     1228     1575     1677     1393     1178     1537     1714     2730        1
    1317     1638     1142     1561     1697     1473     1171     1524     1605     2748        1
    1477     1441     1257     1521     1635     1346     1248     1556     1666     2729        1
    1397     1459     1233     1601     1720     1424     1207     1581     1583     2671        1
    1223     1535     1160     1728     1976     1615     1239     1519     1386     2495        1
    1216     1316     1358     1877     2029     1584     1324     1499     1338     2335        1
    1206     1335     1309     1879     1961     1674     1317     1490     1420     2285        1
    1812     1520      757      895     2217     1280      605     1478     2294     3018        2
    1032     2197      572     1035     2926      977      559     2238     1492     2848        2
    1551     1399      800     1108     2638     1415      721     1410     2069     2765        2
    1478     1921      629      812     3063      890      558     1943     1829     2753        2
    1356     1890      698     1024     3063     1059      657     2010     1600     2519        2
    1006     2180      510     1131     2901     1149      580     2468     1278     2673        2
    1285     1907      719     1018     3071     1074      660     2075     1576     2491        2
    1191     2160      691     1160     2696     1236      604     2341     1379     2418        2
    1656     1583     1230     1286     1184     1236     1263     1672     1775     2991        3
    1623     1524     1250     1263     1258     1259     1285     1670     1755     2989        3
    1605     1545     1327     1304     1237     1237     1287     1684     1737     2913        3
    1577     1573     1281     1340     1299     1282     1267     1655     1709     2893        3
    1600     1597     1266     1311     1283     1338     1232     1635     1728     2886        3
    1497     1534     1366     1398     1379     1338     1264     1564     1671     2865        3
    1607     1602     1279     1249     1306     1225     1162     1680     1790     2976        3
    1659     1545     1287     1322     1239     1274     1225     1653     1755     2917        3
     687      846      932     2365     4398     1837     1027     1121     1087     1576        4
     836      980      965     2220     3716     1790     1026     1233     1260     1850        4
     705      845      916     2183     4301     1955     1034     1172     1129     1636        4
     846      997      926     2039     3942     1726     1029     1185     1311     1875        4
     791      894      913     2306     4124     1774      957     1129     1193     1795        4
     752      897     1001     2298     4001     1934     1001     1113     1187     1692        4
     700      834      891     2247     4352     2026     1079     1093     1144     1510        4
     747      948      891     2215     4283     1900      927     1237     1092     1636        4
    1140     1345     1048     1662     2764     1452     1047     1427     1592     2399        5
    1075     1369     1026     1691     2836     1526     1062     1411     1557     2323        5
    1193     1338     1029     1518     2528     1425     1030     1447     1853     2515        5
    1120     1414      972     1601     2747     1417     1008     1491     1621     2485        5
    1208     1413      967     1445     2443     1373     1037     1465     1831     2694        5
    1194     1366     1012     1464     2548     1386     1050     1471     1771     2614        5
    1122     1390     1051     1609     2640     1483      986     1450     1694     2451        5
    1136     1325     1023     1572     2625     1516     1074     1405     1695     2505        5
     947     1255     1335     1980     2173     2207     1602     1298     1128     1951        6
     930     1275     1309     1966     2282     2208     1584     1305     1111     1906        6
     990     1337     1321     1905     2079     2100     1602     1295     1209     2038        6
    1009     1321     1331     1876     2113     2132     1593     1336     1166     1999        6
    1074     1307     1346     1789     1974     2052     1516     1352     1249     2217        6
    1019     1340     1358     1736     2198     2086     1609     1299     1181     2050        6
    1102     1340     1352     1841     2010     1899     1620     1329     1259     2124        6
    1137     1371     1359     1717     1853     1987     1534     1441     1231     2246        6
     895     1890      895     1508     3238     1772     1021     1985      897     1775        7
     864     1798     1075     1610     3048     1789     1106     1830      961     1795        7
     679     1853      710     1358     4656     1711      766     2074      727     1342        7
     757     1889      719     1311     4383     1664      837     2076      769     1471        7
     509     1758      621     1247     5616     1784      786     1742      748     1065        7
     435     1603      640     1371     5891     1847      872     1571      676      970        7
     378     1503      599     1297     6188     1919      899     1345      796      952        7
     422     1387      734     1609     5238     2057     1023     1405      923     1078        7
     302      762      812     2549     5332     3139     1125      702      438      715        8
     274      639      805     2666     5511     3051     1123      710      424      673        8
     334      777      810     2562     5125     3071     1162      787      456      792        8
     306      782      835     2479     5300     3171     1093      728      415      767        8
     324      723      846     2635     5264     2944     1130      788      463      759        8
     274      726      851     2704     5351     2986     1134      723      426      701        8
     305      759      749     2522     5200     3208     1096      763      472      802        8
     314      813      824     2355     5180     3180     1102      759      483      866        8
     957     1267      969     1739     2102     2171     1413     1342     1531     2385        9
    1041     1333      953     1637     2203     2124     1394     1277     1496     2418        9
    1026     1306     1027     1785     2105     2137     1429     1331     1426     2304        9
    1003     1369      926     1647     2178     2153     1363     1329     1510     2398        9
     990     1340      967     1657     2105     2144     1403     1361     1476     2433        9
    1005     1299     1051     1638     2119     2120     1395     1306     1533     2410        9
     916     1219     1055     1810     2284     2212     1440     1257     1425     2258        9
     935     1255      964     1721     2275     2248     1468     1252     1428     2330        9
     676     1008     1298     2481     3193     2310     1523     1155      831     1401       10
     707     1025     1271     2425     3003     2302     1516     1233      863     1531       10
     643      857     1268     2607     3348     2572     1484     1029      772     1296       10
     651     1009     1238     2583     3116     2453     1594     1077      766     1389       10
     649      946     1264     2663     3014     2455     1577     1100      807     1401       10
     702     1005     1371     2426     3027     2406     1540     1153      811     1435       10
     709      909     1253     2579     3089     2488     1621     1081      791     1356       10
     657      950     1246     2578     3233     2501     1481     1083      803     1344       10
     696     1048      970     2241     3846     2175     1264     1116      979     1541       11
     893     1176     1001     1941     3399     2057     1327     1196     1063     1823       11
    1004     1378      994     1657     3059     1761     1213     1360     1316     2134       11
    1039     1223      982     1735     3163     1811     1234     1263     1295     2131       11
     855     1107      928     1949     3536     1876     1194     1270     1221     1940       11
     784     1143      963     1933     3574     2082     1195     1239     1157     1806       11
     991     1237      900     1687     3061     1715     1169     1267     1557     2292       11
     983     1175      916     1759     3310     1659     1083     1259     1541     2191       11
    1091     1650      702     1536     2133     1638     1059     1550     1549     2968       12
    1262     1638      708     1390     2305     1511     1078     1554     1568     2862       12
    1152     1502      760     1558     2849     1578      988     1438     1453     2598       12
    1180     1700      791     1502     2221     1566     1145     1557     1464     2750       12
    1018     1586      667     1714     2173     1533     1003     1654     1535     2993       12
    1231     1698      663     1292     2494     1461     1063     1614     1569     2791       12
    1150     1606      691     1631     2352     1476     1012     1546     1565     2847       12
    1101     1628      684     1478     2690     1642      971     1574     1474     2634       12
     823     1180     1143     2045     2941     2423     1484     1115     1150     1572       13
     827     1079     1313     2075     3008     2347     1494     1126     1023     1584       13
     923     1133     1205     1986     2806     2484     1488     1132     1039     1680       13
